代碼,公司,產業,年,市值,股價淨值比,資產
1101,台泥,水泥工業,2008,559999120.6,10287.97687,186867735
1101,台泥,水泥工業,2009,731850702.6,10144.86968,204741262
1101,台泥,水泥工業,2010,857692461.6,9363.870338,261960788
1101,台泥,水泥工業,2011,954796687.7,9027.916739,261894940
1101,台泥,水泥工業,2012,1121313821,6898.000235,261430728
1101,台泥,水泥工業,2013,1402288407,7150.263064,282680739
1101,台泥,水泥工業,2014,1384935180,7819.043198,292743832
1101,台泥,水泥工業,2015,930428326.8,6207.881718,293066355
1101,台泥,水泥工業,2016,1245370931,5105.669196,266988696
1101,台泥,水泥工業,2017,1547852531,4906.311713,272557049
1102,亞泥,水泥工業,2008,457426268.9,15990.86563,144232619
1102,亞泥,水泥工業,2009,621630131.1,12684.40606,163728191
1102,亞泥,水泥工業,2010,650120005.5,11807.52774,169581478
1102,亞泥,水泥工業,2011,748757430.2,13377.16141,193605256
1102,亞泥,水泥工業,2012,927273494.7,6724.221102,189832321
1102,亞泥,水泥工業,2013,1044025963,10073.80886,262403581
1102,亞泥,水泥工業,2014,1144908916,8176.75089,282819055
1102,亞泥,水泥工業,2015,858177470.2,5663.445114,270077209
1102,亞泥,水泥工業,2016,856496746.6,4606.869805,238470785
1102,亞泥,水泥工業,2017,947928110.4,5769.432239,247064348
1103,嘉泥,水泥工業,2008,72292757.64,3174.923844,29663351
1103,嘉泥,水泥工業,2009,101579722.9,4071.816583,29998110
1103,嘉泥,水泥工業,2010,101780720.6,3535.669603,29912133
1103,嘉泥,水泥工業,2011,75571080.48,2120.454001,30319279
1103,嘉泥,水泥工業,2012,95083808.4,-7655.993299,29104871
1103,嘉泥,水泥工業,2013,107823795.8,11797.65552,33374653
1103,嘉泥,水泥工業,2014,103628921.9,157.7069384,33666479
1103,嘉泥,水泥工業,2015,71778953.4,3086.11354,27383042
1103,嘉泥,水泥工業,2016,66398688.85,374.8417391,26128917
1103,嘉泥,水泥工業,2017,103433196.8,8654.842238,28317986
1104,環泥,水泥工業,2008,50062638.51,1146.803319,20691335
1104,環泥,水泥工業,2009,68722898.22,10086.73991,20154886
1104,環泥,水泥工業,2010,75305319.93,15990.67637,17513808
1104,環泥,水泥工業,2011,57248952.12,6807.303637,15706697
1104,環泥,水泥工業,2012,72165082.05,9866.018021,15935592
