代碼,公司,產業,年,市值,股價淨值比,資產
1101,台泥 ,水泥工業,2013,1402288407,7150.263064,282680739
1101,台泥 ,水泥工業,2017,1547852531,4906.311713,272557049
1201,味全公司,食品工業,2017,107032303.4,6206.135711,32862642
1216,統一 ,食品工業,2014,2405568615,4624.930643,398833870
1235,興泰 ,食品工業,2015,11616830.45,4040.430839,2752651
1303,南亞塑膠 ,塑膠工業,2008,1854057307,5062.625068,401141930
1303,南亞塑膠 ,塑膠工業,2010,4274791358,9584.981715,460499309
1309,台達化工 ,塑膠工業,2016,34239613.1,3530.326106,8476820
1326,台化 ,塑膠工業,2009,2713217097,10850.41371,447216559
1333,恩得利 ,電子零組件業,2011,7228054.8,-11431.15296,1194352
1333,恩得利 ,電子零組件業,2014,16178539.68,-6099.623449,1269502
1333,恩得利 ,電子零組件業,2017,2935906.76,-41498.93371,597455
1402,遠東新 ,紡織纖維,2015,1280943011,6272.481233,518765122
1418,東華 ,紡織纖維,2017,4518326.85,-71176.34706,1581782
1440,南紡 ,紡織纖維,2017,225326962.4,3338.37989,42809824
1453,大將 ,紡織纖維,2017,9057144.7,-2999.952071,1359389
1457,宜進 ,紡織纖維,2017,42532311.6,14228.10041,13583705
1459,聯發紡織 ,紡織纖維,2017,36938776.7,2580.702679,7527684
1471,首利 ,電子零組件業,2016,12430557.09,-30976.89003,2423456
1475,本盟光電 ,紡織纖維,2015,15550224.48,6018.112479,382538
1477,聚陽實業 ,紡織纖維,2008,20689175.91,14009.49952,4642995
1477,聚陽實業 ,紡織纖維,2016,244009202.5,6240.994129,13135777
1504,東元電機 ,電機機械,2013,583693771.5,6441.514683,76890053
1504,東元電機 ,電機機械,2016,541728429.5,6426.614907,92373956
1506,正道 ,電機機械,2016,17788204.35,1135.527769,2698346
1506,正道 ,電機機械,2017,25896165.75,-582.7889791,2944595
1532,勤美 ,電機機械,2014,100894058.4,5301.204138,39170830
1538,正峰新 ,電機機械,2009,120973987.1,-1264.742973,2921918
1568,倉佑 ,電機機械,2012,11197369.3,10579.092,2562744
1584,精剛精密 ,其他業,2008,3649644.45,-10513.35288,1949038
1586,和勤精機 ,電機機械,2014,11768104.59,4759.475035,2396056
1586,和勤精機 ,電機機械,2015,13013167.55,-932.6706932,2613517
1586,和勤精機 ,電機機械,2016,16348809,-2258.451977,2754344
1591,駿吉-KY ,電機機械,2010,7627500,2774.565716,239765
1595,川寶科技 ,電子零組件業,2015,20051731.25,10478.74607,2498955
1604,聲寶 ,電器電纜,2011,34364587.11,5846.10545,13436626
1611,中電 ,電器電纜,2016,29683720.4,-28898.29807,6685204
1704,榮化 ,化學工業,2014,127432134.4,-65347.84999,38793718
1704,榮化 ,化學工業,2015,253670125.6,39320.41259,37552370
1760,寶齡富錦 ,生技醫療業,2015,79160343.54,922.1283882,1175357
1773,勝一化工 ,化學工業,2011,27727950,17461.73085,4301787
1785,光洋科 ,其他電子業,2016,35574376.25,-13646.14228,19220789
