代碼,公司,產業,年,市值,股價淨值比,資產
4911,德英 ,生技醫療業,2009,19885000,-76.08750314,412235
4911,德英 ,生技醫療業,2010,43795500,-238.6546563,402800
4916,事欣科 ,電腦及週邊設備業,2011,20592000,12961.63559,1110955
4944,兆遠科技 ,光電業,2010,49464961,6338.971944,2769387
4977,眾達-KY ,通信網路業,2012,19648491,7100.748856,1055373
4987,科誠 ,電腦及週邊設備業,2011,8203250,9136.988389,871308
4991,環宇-KY ,半導體業,2012,9122650,964.0839011,705600
5255,美桀 ,電子零組件業,2012,9238845,4413.863421,1025151
8038,長園科 ,電子零組件業,2011,71952550,428.6574972,833982
8147,正淩精工 ,電子零組件業,2012,3078022.5,11436.88846,467747
8409,商之器 ,生技醫療業,2011,3900000,2381.282051,373011
8409,商之器 ,生技醫療業,2012,4692000,-6883.844842,319185
